Current Fee Category,Keyword's Recommended Seller Facing Fee Category,SPS Team Next Step for JP marketplace
Office Products,Furniture,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Lawn and Garden,Furniture,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Office Products,Home and Kitchen,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Lawn and Garden,Home and Kitchen,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Office Products,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Lawn and Garden,Mattresses,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Office Products,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Lawn and Garden,"Media - Books, DVD, Music, Software, Video","DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Lawn and Garden,Office Products,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Office Products,Tools and Home Improvement,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Office Products,Video Games and Gaming Accessories,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Office Products,Watches,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Automotive and Powersports,Lawn and Garden,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Baby Products,Lawn and Garden,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Backpacks, Handbags, and Luggage",Lawn and Garden,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Beauty, Health and Personal Care",Professional Medical Supplies,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Beer,Lawn and Garden,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
"Business, Industrial, and Scientific Supplies",Lawn and Garden,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Clothing and Accessories,Lawn and Garden,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Compact Appliances,Lawn and Garden,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Computers,Lawn and Garden,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Consumer Electronics,Lawn and Garden,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
Electronic Accessories,Lawn and Garden,"DO NOT change fee category. Email Seller using blurb: jp_only_fee_increase_unclear from Paragon, cancel the existing Paragon Workflow and Select case status: ‘Resolve’ and use Product Listings > Incorrect Information on Detail Page Reason Code. If you see ""Why Seller Contacted,"" use your best judgement to select why the Seller needed to contact Amazon."
